time,x,y,z,vx,vy,vz,w,qx,qy,qz,ox,oy,oz,fuel
0.2500,50.0663,2999.9176,0.0284,200.53545,-0.70348,0.18595,0.999758,0.001934,0.002186,0.021816,0.00848,0.02129,-0.03213,4899.601
0.5000,100.2697,2999.6333,0.0852,201.09422,-1.58372,0.26384,0.999816,0.002642,0.004677,0.018442,0.00485,0.01852,-0.02222,4899.202
0.7500,150.6148,2999.1256,0.1568,201.66989,-2.47015,0.29822,0.999845,0.002939,0.006775,0.015977,0.00032,0.01401,-0.01820,4898.802
1.0000,201.1060,2998.4002,0.2307,202.26216,-3.33932,0.29263,0.999866,0.002821,0.008195,0.013891,-0.00021,0.00982,-0.01456,4898.401
1.2500,251.7473,2997.4484,0.3052,202.87036,-4.29032,0.30599,0.999872,0.002942,0.009556,0.012496,0.00174,0.01209,-0.00794,4898.000
1.5000,302.5421,2996.2559,0.3818,203.48953,-5.22489,0.29928,0.999868,0.002923,0.010978,0.011606,-0.00186,0.00945,-0.00822,4897.599
1.7500,353.4930,2994.8556,0.4528,204.12019,-5.93682,0.27010,0.999874,0.002627,0.011931,0.010155,-0.00153,0.00677,-0.01499,4897.198
2.0000,404.6036,2993.2994,0.5177,204.76751,-6.50990,0.24675,0.999882,0.002428,0.012789,0.008163,-0.00221,0.00624,-0.01538,4896.796
2.2500,455.8779,2991.5959,0.5731,205.42940,-7.12896,0.19266,0.999888,0.001939,0.013284,0.006566,-0.00421,0.00177,-0.01020,4896.394
2.5000,507.3192,2989.7342,0.6157,206.10279,-7.75847,0.15605,0.999892,0.001631,0.013531,0.005497,-0.00031,0.00341,-0.00755,4895.991
2.7500,558.9302,2987.7198,0.6527,206.78628,-8.35535,0.13536,0.999889,0.001568,0.014094,0.004643,-0.00162,0.00426,-0.00600,4895.587
3.0000,610.7132,2985.5571,0.6807,207.47950,-8.93805,0.08740,0.999888,0.001223,0.014394,0.003994,-0.00276,0.00093,-0.00490,4895.182
3.2500,662.6710,2983.2613,0.6971,208.18576,-9.39818,0.04357,0.999889,0.000930,0.014483,0.003277,-0.00263,0.00028,-0.00698,4894.777
3.5000,714.8072,2980.8699,0.6992,208.90526,-9.72423,-0.03569,0.999897,0.000313,0.014189,0.002344,-0.00677,-0.00580,-0.00727,4894.372
3.7500,767.1246,2978.3958,0.6783,209.63600,-10.08077,-0.12504,0.999911,-0.000432,0.013212,0.001645,-0.00380,-0.00803,-0.00396,4893.966
4.0000,819.6263,2975.8295,0.6407,210.37995,-10.43289,-0.17202,0.999922,-0.000699,0.012430,0.001244,-0.00150,-0.00484,-0.00328,4893.559
4.2500,872.3288,2973.1585,0.5922,211.27619,-10.80734,-0.21439,0.999763,-0.000670,0.011864,0.018257,-0.00072,-0.00410,0.37982,4892.897
4.5000,925.2564,2970.8336,0.5368,212.02858,-6.85047,-0.21926,0.997323,0.000328,0.011705,0.072184,0.00618,0.00144,0.34660,4891.869
4.7500,978.2765,2970.0041,0.4847,212.00259,0.55571,-0.20029,0.994226,0.001206,0.012024,0.106622,0.00109,0.00184,0.23638,4890.618
5.0000,1031.1938,2971.2376,0.4364,211.21047,9.48956,-0.18073,0.990855,0.001583,0.012065,0.134384,0.00123,0.00045,0.21790,4889.232
5.2500,1083.8197,2974.8089,0.3984,209.67139,19.16133,-0.11712,0.986785,0.002202,0.012323,0.161549,0.00300,0.00347,0.22328,4887.765
5.5000,1135.9645,2980.8509,0.3784,207.35025,29.23378,-0.04231,0.981814,0.002694,0.012658,0.189404,0.00089,0.00223,0.22846,4886.250
5.7500,1187.4260,2989.4473,0.3805,204.20714,39.55389,0.06888,0.975959,0.003295,0.013015,0.217542,0.00451,0.00484,0.23243,4884.707
6.0000,1238.0045,3000.6196,0.4157,200.30083,49.77992,0.21183,0.969047,0.003994,0.013720,0.246461,0.00142,0.00518,0.24437,4883.149
6.2500,1287.5162,3014.3109,0.4843,195.66757,59.70256,0.33500,0.960881,0.004116,0.013815,0.276585,-0.00397,-0.00021,0.25306,4881.585
6.5000,1335.7729,3030.4503,0.5846,190.25629,69.36639,0.47161,0.951674,0.004148,0.013441,0.306789,-0.00314,-0.00104,0.25153,4880.021
6.7500,1382.5834,3048.9646,0.7204,184.11651,78.67125,0.61223,0.941552,0.004033,0.012899,0.336597,-0.00792,-0.00315,0.25378,4878.462
7.0000,1427.7788,3069.7420,0.8897,177.34858,87.44947,0.74429,0.930200,0.003602,0.011883,0.366843,-0.00681,-0.00447,0.26391,4876.909
7.2500,1471.2112,3092.6361,1.0960,170.02197,95.58986,0.91454,0.917309,0.004127,0.011532,0.397987,0.00758,0.00081,0.27512,4875.362
7.5000,1512.7496,3117.4761,1.3506,162.21082,103.00373,1.12669,0.902812,0.005537,0.012201,0.429826,0.00977,0.00366,0.28446,4873.825
7.7500,1552.2824,3144.0722,1.6607,153.98740,109.63119,1.35780,0.886710,0.006524,0.012670,0.462106,0.00399,0.00235,0.29281,4872.297
8.0000,1589.7113,3172.2253,2.0319,145.37901,115.46184,1.61812,0.868900,0.007495,0.013046,0.494760,0.00923,0.00321,0.30287,4870.778
8.2500,1624.9161,3201.7501,2.4694,136.14567,120.67693,2.15727,0.849784,0.090883,0.052511,0.516576,1.33320,-0.15204,0.09301,4869.270
8.5000,1657.8711,3232.4929,3.3822,128.10642,124.90457,5.47781,0.832864,0.230262,0.109876,0.491167,1.19575,-0.24519,-0.14085,4867.772
