time,x,y,z,vx,vy,vz,w,qx,qy,qz,ox,oy,oz,fuel
0.2500,50.1008,2999.9188,0.0240,200.81256,-0.71970,0.15105,0.999783,0.002051,0.004538,0.020204,0.00387,0.05521,-0.05611,4899.579
0.5000,100.4089,2999.6032,0.0582,201.65526,-1.85701,0.10861,0.999847,0.001442,0.010493,0.013903,-0.00713,0.03582,-0.04231,4899.158
0.7500,150.9296,2998.9777,0.0749,202.51205,-3.15038,0.02017,0.999867,0.000328,0.013141,0.009608,-0.00893,0.00613,-0.02788,4898.735
1.0000,201.6656,2998.0294,0.0693,203.37769,-4.43652,-0.05361,0.999900,-0.000501,0.012451,0.006716,-0.00184,-0.01201,-0.01908,4898.313
1.2500,252.6190,2996.7555,0.0550,204.25026,-5.76357,-0.05298,0.999922,-0.000214,0.011529,0.004772,0.00420,-0.00008,-0.01234,4897.889
1.5000,303.7909,2995.1509,0.0410,205.12531,-7.04356,-0.06798,0.999922,-0.000065,0.011962,0.003453,-0.00170,0.00307,-0.00962,4897.466
1.7500,355.1820,2993.2578,0.0195,206.00365,-8.04718,-0.10003,0.999926,-0.000243,0.011999,0.002202,0.00055,-0.00040,-0.01059,4897.041
2.0000,406.7933,2991.1475,-0.0071,206.88765,-8.81545,-0.11473,0.999925,-0.000134,0.012249,0.000899,-0.00038,0.00316,-0.00958,4896.616
2.2500,458.6260,2988.8533,-0.0409,207.77446,-9.53457,-0.15739,0.999926,-0.000407,0.012190,-0.000079,-0.00185,-0.00446,-0.00606,4896.191
2.5000,510.6807,2986.3847,-0.0821,208.66323,-10.19949,-0.16288,0.999929,-0.000226,0.011895,-0.000671,0.00415,0.00345,-0.00365,4895.765
2.7500,562.9576,2983.7601,-0.1222,209.55200,-10.79002,-0.16757,0.999915,0.000058,0.012984,-0.001029,-0.00103,0.00990,-0.00201,4895.337
3.0000,615.4565,2980.9938,-0.1699,210.43953,-11.32429,-0.21409,0.999907,-0.000246,0.013596,-0.001201,-0.00177,0.00028,-0.00113,4894.909
3.2500,668.1776,2978.1121,-0.2274,211.32912,-11.69315,-0.24580,0.999908,-0.000331,0.013507,-0.001394,-0.00125,-0.00176,-0.00213,4894.481
3.5000,721.1212,2975.1607,-0.2961,212.21958,-11.90835,-0.30898,0.999920,-0.000781,0.012521,-0.001665,-0.00443,-0.01581,-0.00180,4894.051
3.7500,774.2873,2972.1562,-0.3788,213.10993,-12.13283,-0.33856,0.999946,-0.000896,0.010225,-0.001746,0.00329,-0.01528,0.00036,4893.621
4.0000,827.6762,2969.0984,-0.4610,214.00121,-12.30675,-0.32098,0.999954,-0.000394,0.009429,-0.001685,0.00264,0.00100,0.00020,4893.190
4.2500,881.3020,2965.9826,-0.5421,215.04491,-12.43255,-0.32815,0.999828,-0.000054,0.009864,0.015682,0.00195,0.00588,0.34470,4892.602
4.5000,935.1918,2963.2522,-0.6228,215.99157,-8.80795,-0.31556,0.998189,0.000741,0.011333,0.059068,0.00256,0.01758,0.31129,4891.786
4.7500,989.2427,2961.7924,-0.7032,216.28015,-2.47689,-0.33667,0.995502,0.000884,0.013282,0.093800,-0.00348,0.00996,0.24518,4890.831
5.0000,1043.2606,2962.1758,-0.7910,215.73063,5.75838,-0.35541,0.992571,0.000962,0.013684,0.120890,0.00031,0.00110,0.19822,4889.791
5.2500,1097.0507,2964.7291,-0.8763,214.48650,14.72650,-0.32622,0.989369,0.001328,0.014136,0.144731,-0.00009,0.00549,0.19071,4888.700
5.5000,1150.4513,2969.5631,-0.9553,212.60945,23.98923,-0.30280,0.985618,0.001511,0.014482,0.168362,-0.00026,0.00111,0.19220,4887.578
5.7500,1203.3023,2976.7364,-1.0233,210.09950,33.39148,-0.23431,0.981222,0.001917,0.014952,0.192291,0.00148,0.00830,0.19901,4886.438
6.0000,1255.4547,2986.2429,-1.0738,207.02569,42.62175,-0.17839,0.975923,0.002028,0.015841,0.217528,-0.00298,0.00290,0.21334,4885.287
6.2500,1306.7607,2998.0379,-1.1139,203.29787,51.74168,-0.13484,0.969698,0.002275,0.015065,0.243832,-0.00122,-0.01112,0.21640,4884.132
6.5000,1357.0383,3012.1176,-1.1356,198.79778,60.88893,-0.03210,0.962864,0.003012,0.013671,0.269623,0.00016,-0.00992,0.21127,4882.978
6.7500,1406.1054,3028.4646,-1.1292,193.64310,69.82890,0.08518,0.955371,0.003678,0.012237,0.295131,-0.00055,-0.01276,0.21640,4881.825
7.0000,1453.8148,3046.9979,-1.0888,187.94201,78.36627,0.25132,0.946825,0.004562,0.010971,0.321530,0.00372,-0.00387,0.22762,4880.676
